fast_time_64,naive_time_64,fast_band_64,naive_band_64,fast_time_128,naive_time_128,fast_band_128,naive_band_128,fast_time_256,naive_time_256,fast_band_256,naive_band_256,fast_time_512,naive_time_512,fast_band_512,naive_band_512,fast_time_1024,naive_time_1024,fast_band_1024,naive_band_1024
15.446656,66.340706,69.512896,16.185264,22.16256,66.240028,48.448456,16.209864,19.616575,66.338974,54.736456,16.185686,193.514175,66.37104,5.548647,16.177866,193.514175,66.37104,5.548647,16.177866
11.357504,66.699997,94.540296,16.098079,9.8,66.475746,109.565488,16.152385,10.104288,66.369919,106.265952,16.17814,13.658336,66.470978,78.6144,16.153543,13.658336,66.470978,78.6144,16.153543
11.58864,66.448318,92.654688,16.159052,9.821856,66.422562,109.321688,16.165318,9.91872,66.451683,108.254072,16.158234,13.454208,66.33712,79.807136,16.186139,13.454208,66.33712,79.807136,16.186139
11.54416,66.386818,93.011688,16.174022,10.004672,66.433792,107.32404,16.162585,10.081888,66.630211,106.502056,16.11494,13.453088,66.331169,79.813784,16.187591,13.453088,66.331169,79.813784,16.187591
11.377696,66.470528,94.37252,16.153653,10.054336,66.302017,106.793912,16.194708,10.150432,66.444771,105.782872,16.159915,13.228224,66.385796,81.17052,16.174271,13.228224,66.385796,81.17052,16.174271
11.365952,66.658401,94.470032,16.108124,10.27184,66.471519,104.532568,16.153412,10.021344,66.434113,107.145488,16.162507,13.409344,66.325409,80.074152,16.188997,13.409344,66.325409,80.074152,16.188997
11.368032,66.413986,94.452744,16.167405,10.062144,66.410141,106.711032,16.168341,10.025952,66.366241,107.09624,16.179036,13.259872,66.506302,80.976784,16.144964,13.259872,66.506302,80.976784,16.144964
11.59088,66.390015,92.636776,16.173243,10.033536,66.468033,107.015296,16.154259,10.064224,66.371872,106.688984,16.177664,13.53376,66.424637,79.338024,16.164813,13.53376,66.424637,79.338024,16.164813
11.619104,66.49424,92.411752,16.147892,10.033888,66.480415,107.011544,16.15125,10.151328,66.472481,105.773528,16.153178,13.289536,66.6231,80.796032,16.11666,13.289536,66.6231,80.796032,16.11666
11.641888,66.358467,92.230904,16.180932,10.043712,66.287041,106.906872,16.198367,10.174656,66.200928,105.531024,16.219438,13.41968,66.36496,80.01248,16.179349,13.41968,66.36496,80.01248,16.179349
